Params: ['300', '40', '0.8', '0.7', '0.1', '0.005'], mean: 25.052391740634683, std: 11.370606657696612
Params: ['300', '40', '0.8', '0.7', '0.1', '0.05'], mean: 22.49006628381872, std: 8.220659697993458
Params: ['300', '40', '0.8', '0.7', '1.0', '0.0005'], mean: 26.088577388115617, std: 11.818841981552742
Params: ['300', '40', '0.8', '0.7', '1.0', '0.005'], mean: 18.046977719098372, std: 7.619672321834679
Params: ['300', '40', '0.8', '0.7', '1.0', '0.05'], mean: 28.249595588198865, std: 14.252081155521934
Params: ['300', '40', '0.9', '0.3', '0.01', '0.0005'], mean: 8.685418251144595, std: 2.734307593889446
Params: ['300', '40', '0.9', '0.3', '0.01', '0.005'], mean: 10.260170137016855, std: 3.455825487082341
Params: ['300', '40', '0.9', '0.3', '0.01', '0.05'], mean: 10.19906897852913, std: 3.0223505114488827
Params: ['300', '40', '0.9', '0.3', '0.1', '0.0005'], mean: 12.078631599940671, std: 5.393707908110114
Params: ['300', '40', '0.9', '0.3', '0.1', '0.005'], mean: 12.395434710686448, std: 3.2720913085751304
Params: ['300', '40', '0.9', '0.3', '0.1', '0.05'], mean: 10.866001981911076, std: 5.704981311842781
Params: ['300', '40', '0.9', '0.3', '1.0', '0.0005'], mean: 9.945050917048405, std: 3.4841831115291706
Params: ['300', '40', '0.9', '0.3', '1.0', '0.005'], mean: 14.066304825196658, std: 4.201262458605819
Params: ['300', '40', '0.9', '0.3', '1.0', '0.05'], mean: 11.088957641272478, std: 4.551934404294093
Params: ['300', '40', '0.9', '0.5', '0.01', '0.0005'], mean: 11.3951595781004, std: 4.596673884067608
Params: ['300', '40', '0.9', '0.5', '0.01', '0.005'], mean: 12.051977323135857, std: 3.972777735190469
Params: ['300', '40', '0.9', '0.5', '0.01', '0.05'], mean: 9.175848474939222, std: 3.5074282095385256
Params: ['300', '40', '0.9', '0.5', '0.1', '0.0005'], mean: 9.90523228022342, std: 3.0148737741741622
Params: ['300', '40', '0.9', '0.5', '0.1', '0.005'], mean: 10.246036402923064, std: 3.410846254391718
Params: ['300', '40', '0.9', '0.5', '0.1', '0.05'], mean: 11.82905812959208, std: 3.543571098426413
Params: ['300', '40', '0.9', '0.5', '1.0', '0.0005'], mean: 11.359314727133931, std: 9.405219854659055
Params: ['300', '40', '0.9', '0.5', '1.0', '0.005'], mean: 10.797315150622833, std: 3.0210565677576575
